Date,Tobacco,Gold,Silver,Corn,Cotton
2025-04-01,37782.77,3146.0,34.309,461.75,68.25
2025-04-02,36988.85,3166.2,34.65,457.75,67.8
2025-04-03,37803.19,3121.7,31.97,457.5,64.8
2025-04-04,36836.62,3035.4,29.23,460.25,63.36
2025-04-07,36116.7,2973.6,29.604,464.5,65.99
2025-04-08,37232.87,2990.2,29.686,469.0,65.55
2025-04-09,36580.4,3079.4,30.415,474.0,66.63
2025-04-10,36756.24,3177.5,30.759,483.0,66.47
2025-04-11,37556.97,3244.6,31.91,490.25,65.89
2025-04-14,37707.49,3226.3,32.167,485.0,65.35
2025-04-15,38132.25,3240.4,32.297,481.25,66.12
2025-04-16,37977.81,3346.4,32.98,484.25,66.37
2025-04-17,37905.53,3328.4,32.47,482.25,67.13
2025-04-22,38258.43,3419.4,32.905,483.25,67.22
2025-04-23,38160.46,3294.1,33.547,479.25,69.03
2025-04-24,38194.37,3348.6,33.503,484.0,69.17
2025-04-25,37823.87,3298.4,33.01,485.5,68.8
2025-04-28,37866.29,3347.7,33.005,483.25,67.55
2025-04-29,38035.82,3347.6,33.425,470.25,66.49
2025-04-30,38999.14,3332.7,32.679,475.5,66.02
2025-05-01,38896.14,3246.12,32.385,472.25,65.66
2025-05-02,38801.72,3237.21,32.09,470.13,68.17
